chemical_names,read_out,laboratory,result,ec3
Benzocaine,ec50,hu,21.45,6.57
Citral,ec50,hu,5.08,13
Euganol,ec50,hu,16.3,13
x-Hexylcinnamaldehyde,ec50,hu,130.25,11
Cinnamaldehyde,ec50,hu,5.56,1.4
Isoeuganol,ec50,hu,13.72,1.2
Formaldehyde,ec50,hu,4.41,0.61
"1-chloro-2,4-dinitrobezene",ec50,hu,0.78,0.05
Oxazolone,ec50,hu,4.36,0.003
Citral,il_1_alpha,hu,4.11,13
Euganol,il_1_alpha,hu,4.34,13
x-Hexylcinnamaldehyde,il_1_alpha,hu,41.44,11
Cinnamaldehyde,il_1_alpha,hu,1.58,1.4
Isoeuganol,il_1_alpha,hu,7.8,1.2
Formaldehyde,il_1_alpha,hu,0.42,0.61
"1-chloro-2,4-dinitrobezene",il_1_alpha,hu,0.3,0.05
Oxazolone,il_1_alpha,hu,1.25,0.003
Benzocaine,ec50,disfeb,37.02,6.57
Citral,ec50,disfeb,4.63,13
Euganol,ec50,disfeb,16.33,13
x-Hexylcinnamaldehyde,ec50,disfeb,77.22,11
Cinnamaldehyde,ec50,disfeb,2.72,1.4
Isoeuganol,ec50,disfeb,18.92,1.2
Formaldehyde,ec50,disfeb,12.65,0.61
"1-chloro-2,4-dinitrobezene",ec50,disfeb,0.7,0.05
Oxazolone,ec50,disfeb,7.73,0.003
Citral,il_1_alpha,disfeb,1.71,13
Euganol,il_1_alpha,disfeb,17.47,13
x-Hexylcinnamaldehyde,il_1_alpha,disfeb,63.7,11
Cinnamaldehyde,il_1_alpha,disfeb,0.81,1.4
Isoeuganol,il_1_alpha,disfeb,18.57,1.2
Formaldehyde,il_1_alpha,disfeb,10.61,0.61
"1-chloro-2,4-dinitrobezene",il_1_alpha,disfeb,0.38,0.05
Oxazolone,il_1_alpha,disfeb,2.44,0.003
Benzocaine,ec50,vumc,17.45,6.57
Citral,ec50,vumc,4.45,13
Euganol,ec50,vumc,8.76,13
x-Hexylcinnamaldehyde,ec50,vumc,78.6,11
Cinnamaldehyde,ec50,vumc,1.8,1.4
Isoeuganol,ec50,vumc,14.21,1.2
Formaldehyde,ec50,vumc,5.47,0.61
"1-chloro-2,4-dinitrobezene",ec50,vumc,0.28,0.05
Oxazolone,ec50,vumc,1.44,0.003
Citral,il_1_alpha,vumc,3.66,13
Euganol,il_1_alpha,vumc,4.86,13
x-Hexylcinnamaldehyde,il_1_alpha,vumc,20.35,11
Cinnamaldehyde,il_1_alpha,vumc,1.31,1.4
Isoeuganol,il_1_alpha,vumc,8.64,1.2
Formaldehyde,il_1_alpha,vumc,3.2,0.61
"1-chloro-2,4-dinitrobezene",il_1_alpha,vumc,0.36,0.05
Oxazolone,il_1_alpha,vumc,0.69,0.003
Benzocaine,ec50,basf,17.42,6.57
Citral,ec50,basf,5.82,13
Euganol,ec50,basf,9.31,13
x-Hexylcinnamaldehyde,ec50,basf,72.78,11
Cinnamaldehyde,ec50,basf,5.38,1.4
Isoeuganol,ec50,basf,12.14,1.2
Formaldehyde,ec50,basf,5.77,0.61
"1-chloro-2,4-dinitrobezene",ec50,basf,0.49,0.05
Oxazolone,ec50,basf,3.68,0.003
Citral,il_1_alpha,basf,4.2,13
Euganol,il_1_alpha,basf,8.27,13
x-Hexylcinnamaldehyde,il_1_alpha,basf,126.32,11
Cinnamaldehyde,il_1_alpha,basf,3.17,1.4
Isoeuganol,il_1_alpha,basf,11.18,1.2
Formaldehyde,il_1_alpha,basf,1.33,0.61
"1-chloro-2,4-dinitrobezene",il_1_alpha,basf,0.33,0.05
Oxazolone,il_1_alpha,basf,9.49,0.003
